,s,a,sp,r
664,7,7,13,-3.0
665,7,8,13,-3.0
666,7,9,13,-3.0
667,7,10,13,-3.0
668,7,11,13,-3.0
669,7,12,13,-3.0
670,7,13,13,5.0
671,7,14,13,-3.0
672,5,1,14,0.0
673,5,2,14,-3.0
674,5,3,14,-3.0
675,5,4,14,-3.0
676,5,5,14,-3.0
677,5,6,14,-5.0
678,5,7,14,-2.0
679,5,8,14,-3.0
680,5,9,14,-1.0
681,5,10,14,-5.0
682,5,11,14,-3.0
683,5,12,14,-3.0
684,5,13,14,-3.0
685,5,14,14,5.0
686,14,1,14,0.0
687,14,2,14,-3.0
688,14,3,14,-3.0
689,14,4,14,-3.0
690,14,5,14,-3.0
691,14,6,14,-5.0
692,14,7,14,-2.0
693,14,8,14,-3.0
694,14,9,14,-1.0
695,14,10,14,-5.0
696,14,11,14,-3.0
697,14,12,14,-3.0
698,14,13,14,-3.0
699,14,14,14,3.0
700,14,1,5,-3.0
701,14,2,5,-2.0
702,14,3,5,-3.0
703,14,4,5,-3.0
704,14,5,5,2.0
705,14,6,5,-3.0
706,14,7,5,-3.0
707,14,8,5,-3.0
708,14,9,5,-3.0
709,14,10,5,-2.0
710,14,11,5,-3.0
711,14,12,5,-3.0
712,14,13,5,-2.0
713,14,14,5,-3.0
714,5,1,3,-3.0
715,5,2,3,0.0
716,5,3,3,2.0
717,5,4,3,-2.0
718,5,5,3,-3.0
719,5,6,3,-3.0
720,5,7,3,-3.0
721,5,8,3,-3.0
722,5,9,3,-5.0
723,5,10,3,-2.0
724,5,11,3,-3.0
725,5,12,3,-2.0
726,5,13,3,-3.0
727,5,14,3,-3.0
728,3,1,3,-3.0
729,3,2,3,0.0
730,3,3,3,4.0
731,3,4,3,-2.0
732,3,5,3,-3.0
733,3,6,3,-3.0
734,3,7,3,-3.0
735,3,8,3,-3.0
736,3,9,3,-5.0
737,3,10,3,-2.0
738,3,11,3,-3.0
739,3,12,3,-2.0
740,3,13,3,-3.0
741,3,14,3,-3.0
742,3,1,11,-3.0
743,3,2,11,-2.0
744,3,3,11,-3.0
745,3,4,11,-3.0
746,3,5,11,-3.0
747,3,6,11,-5.0
748,3,7,11,-2.0
749,3,8,11,-3.0
750,3,9,11,-5.0
751,3,10,11,-2.0
752,3,11,11,2.0
753,3,12,11,-3.0
754,3,13,11,-3.0
755,3,14,11,-3.0
756,4,1,7,-2.0
757,4,2,7,-3.0
758,4,3,7,-3.0
759,4,4,7,-3.0
760,4,5,7,-3.0
761,4,6,7,-5.0
762,4,7,7,3.0
763,4,8,7,-3.0
764,4,9,7,-2.0
765,4,10,7,-3.0
766,4,11,7,-2.0
767,4,12,7,-3.0
768,4,13,7,-3.0
769,4,14,7,-2.0
770,7,1,3,-3.0
771,7,2,3,0.0
772,7,3,3,4.0
773,7,4,3,-2.0
774,7,5,3,-3.0
775,7,6,3,-3.0
776,7,7,3,-3.0
777,7,8,3,-3.0
778,7,9,3,-5.0
779,7,10,3,-2.0
780,7,11,3,-3.0
781,7,12,3,-2.0
782,7,13,3,-3.0
783,7,14,3,-3.0
784,3,1,3,-3.0
785,3,2,3,0.0
786,3,3,3,3.0
787,3,4,3,-2.0
788,3,5,3,-3.0
789,3,6,3,-3.0
790,3,7,3,-3.0
791,3,8,3,-3.0
792,3,9,3,-5.0
793,3,10,3,-2.0
794,3,11,3,-3.0
795,3,12,3,-2.0
796,3,13,3,-3.0
797,3,14,3,-3.0
798,3,1,11,-3.0
799,3,2,11,-2.0
800,3,3,11,-3.0
801,3,4,11,-3.0
802,3,5,11,-3.0
803,3,6,11,-5.0
804,3,7,11,-2.0
805,3,8,11,-3.0
806,3,9,11,-5.0
807,3,10,11,-2.0
808,3,11,11,2.0
809,3,12,11,-3.0
810,3,13,11,-3.0
811,3,14,11,-3.0
812,11,1,6,-5.0
813,11,2,6,-5.0
814,11,3,6,-3.0
815,11,4,6,-2.0
816,11,5,6,-3.0
817,11,6,6,5.0
818,11,7,6,-5.0
819,11,8,6,-3.0
820,11,9,6,-5.0
821,11,10,6,-5.0
822,11,11,6,-5.0
823,11,12,6,-5.0
824,11,13,6,-3.0
825,11,14,6,-5.0
826,6,1,1,4.0
827,6,2,1,-2.0
828,6,3,1,-3.0
829,6,4,1,-3.0
830,6,5,1,-3.0
831,6,6,1,-5.0
832,6,7,1,-2.0
833,6,8,1,-3.0
834,6,9,1,-2.0
835,6,10,1,-3.0
836,6,11,1,-3.0
837,6,12,1,-2.0
838,6,13,1,-3.0
839,6,14,1,0.0
840,1,1,1,4.0
841,1,2,1,-2.0
842,1,3,1,-3.0
843,1,4,1,-3.0
844,1,5,1,-3.0
845,1,6,1,-5.0
846,1,7,1,-2.0
847,1,8,1,-3.0
848,1,9,1,-2.0
849,1,10,1,-3.0
850,1,11,1,-3.0
851,1,12,1,-2.0
852,1,13,1,-3.0
853,1,14,1,0.0
854,1,1,7,-2.0
855,1,2,7,-3.0
856,1,3,7,-3.0
857,1,4,7,-3.0
858,1,5,7,-3.0
859,1,6,7,-5.0
860,1,7,7,4.0
861,1,8,7,-3.0
862,1,9,7,-2.0
863,1,10,7,-3.0
864,1,11,7,-2.0
865,1,12,7,-3.0
866,1,13,7,-3.0
867,1,14,7,-2.0
868,7,1,14,0.0
869,7,2,14,-3.0
870,7,3,14,-3.0
871,7,4,14,-3.0
872,7,5,14,-3.0
873,7,6,14,-5.0
874,7,7,14,-2.0
875,7,8,14,-3.0
876,7,9,14,-1.0
877,7,10,14,-5.0
878,7,11,14,-3.0
879,7,12,14,-3.0
880,7,13,14,-3.0
881,7,14,14,5.0
882,3,1,5,-3.0
883,3,2,5,-2.0
